,Tweet,State,IsFlorida
2016-12-16 23:16:14,Leave it to Wisconsinites to be falling down drunk at 5 pm during a winter storm warning #wisconsin #StateoftheState,WI,0
2016-12-16 23:15:58,RT @amrightnow: #realdonaldtrump #VoteTrump2016 Watch https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/TGX9…,WI,0
2016-12-16 23:15:05,"RT @DonnaWR8: #BREAKING #BreakingNews 

#Michigan, #Pennsylvania and #Wisconsin Recounts All Have Revealed The Following About The #DNC &amp; #…",WI,0
2016-12-16 23:12:50,"Sitting at work, awaiting finding out just how bad the snow is... at 7pm, in two hours. Weee #Wisconsin",WI,0
2016-12-16 23:10:55,"RT @EricTrump: The Sad Truth: The Cost Of Stein/Clinton's #Wisconsin Vote Recount Could Have Saved At Least 5,000 Children's Lives https://…",WI,0
2016-12-16 23:10:17,Since Upeople r turning aside just (me) as thing of naught #gopdebate @FoxNews #wisconsin https://t.co/Oopi4v6lRe https://t.co/HPjZtYGJYK,WI,0
2016-12-16 23:07:41,#Wisconsin #Milwaukee #Madison Dane County snowmobile trails open Friday https://t.co/puCpT8EjeW,WI,0
2016-12-16 23:06:42,Look at this crap!! #snowday #Wisconsin https://t.co/TAJbfplnxG,WI,0
2016-12-16 23:05:45,"RT @RLJSlick: Maybe a bit more than 2"" of snow fall in Caledonia east of Franksville 
@jnelsonweather 

#Wiwx #weather #Wisconsin https://t…",WI,0
2016-12-16 23:05:43,#GreenBay #Wisconsin Dec 16 16:53 Temperature 15°F light snow Humidity 80% .. https://t.co/9Ul56OoZbV,WI,0
2016-12-16 23:04:58,"Maybe a bit more than 2"" of snow fall in Caledonia east of Franksville 
@jnelsonweather 

#Wiwx #weather #Wisconsin https://t.co/ha5a1gR6B9",WI,0
2016-12-16 23:04:43,RT @marcvanommeren: PSA for #Wisconsin drivers: Turn your lights on. #wiwx #winterstorm,WI,0
2016-12-16 23:03:32,"RT @DonnaWR8: #BREAKING #BreakingNews 

#Michigan, #Pennsylvania and #Wisconsin Recounts All Have Revealed The Following About The #DNC &amp; #…",WI,0
2016-12-16 23:03:05,"RT @SchoolChoiceWI: See the life-changing stories of ""Faces of choice in Wisconsin."" #edureform #schools #wisconsin #schoolchoicewi https:/…",WI,0
2016-12-16 23:01:44,RT @amrightnow: #realdonaldtrump #VoteTrump2016 Watch https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/TGX9…,WI,0
2016-12-16 23:01:37,"Can you recommend anyone for this #job? Customer Service Representative - https://t.co/Pk6DAiJ9UC #Calumet #wisconsin #Chilton, WI",WI,0
2016-12-16 23:01:02,"RT @DonnaWR8: #BREAKING #BreakingNews 

#Michigan, #Pennsylvania and #Wisconsin Recounts All Have Revealed The Following About The #DNC &amp; #…",WI,0
2016-12-16 23:00:45,#realdonaldtrump #VoteTrump2016 Watch https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/TGX9OV5x5l,WI,0
2016-12-16 22:59:52,RT @DillionHarper: Being dorky in the snow #Wisconsin #blizzard #WinterWonderland 🎄🎄🎄 #Dillionaires https://t.co/PifenIWq1E,WI,0
2016-12-16 22:58:37,#wisconsin diet for money zahlungsarten saturn online shop,WI,0
2016-12-16 22:57:52,Still Snowing #Wisconsin #Winter #Snow #lifeinthecastle https://t.co/q9BlkMFdIm,WI,0
2016-12-16 22:56:51,#wisconsin beach vacations vrbo villa la estancia,WI,0
2016-12-16 22:55:49,"RT @SchoolChoiceWI: See the life-changing stories of ""Faces of choice in Wisconsin."" #edureform #schools #wisconsin #schoolchoicewi https:/…",WI,0
2016-12-16 22:54:00,"Industry jobs up in Wisconsin, 33 other states in November  #Wisconsin #WI https://t.co/gXuAJL3H4s",WI,0
2016-12-16 22:52:43,@jaketapper @RepSeanDuffy why did local GOP city officials collude to cut early voting hours @uwgb bc students tend to be liberal #Wisconsin,WI,0
2016-12-16 22:52:06,"RT @SchoolChoiceWI: See the life-changing stories of ""Faces of choice in Wisconsin."" #edureform #schools #wisconsin #schoolchoicewi https:/…",WI,0
